word,x,y,sqrt(x^2+y^2)
loop,0.267627349,-0.190338689,0.328410132
site,0.176473035,0.273092998,0.325149992
orked,0.17715578,-0.255396042,0.310823598
military,0.102979124,0.26827071,0.287356701
east,0.173120411,-0.228105896,0.286361619
punch,0.202050534,0.145145364,0.248780214
rough,0.136396787,-0.167184953,0.215765827
weather,0.172312698,0.128139834,0.214735845
ork,0.127026592,0.14793157,0.194985909
building,0.14359597,-0.05950708,0.155437753
log,0.051037727,0.141379897,0.150310095
qcr,0.051037727,0.141379897,0.150310095
quality,0.051037727,0.141379897,0.150310095
construction,0.114912294,0.095993529,0.149731736
family,0.055186998,0.135881472,0.146660763
p5,0.055186998,0.135881472,0.146660763
housing,0.055330985,0.135222468,0.146104872
project,0.05650639,0.134525619,0.145911324
replace,0.059049635,0.131857462,0.144475775
finish,0.100636967,-0.103262053,0.144190328
contractor,0.054716085,0.132885901,0.143709821
narratives,0.055592407,0.132273312,0.143480817
report,0.067238531,0.125907608,0.142736631
performed,0.073569416,0.121377817,0.141933201
qc,0.05765181,0.129649443,0.141889779
framing,0.091089691,-0.104017276,0.13826397
est,0.085300822,-0.105186692,0.135426993
trim,0.125475432,-0.025096059,0.127960526
contractors,0.114776492,0.046891166,0.123985582
electric,0.118001716,-0.029807053,0.121708116
control,0.057617917,0.106344217,0.12095006
buildings,0.067987298,-0.098609458,0.119775197
hogan,0.065217529,0.099989723,0.119378687
landscaping,0.057036108,0.103101689,0.117826466
parsons,0.101711197,0.05207202,0.114265755
delay,0.090796114,0.066186839,0.112359387
number,0.087353257,0.068610933,0.111076783
2,0.086568094,0.068218617,0.110217125
4,0.085131199,0.069465281,0.109876049
2012,0.085131199,0.069465281,0.109876049
contract,0.085131199,0.069465281,0.109876049
daca67,0.085131199,0.069465281,0.109876049
maintance,0.052654024,0.096038968,0.109525932
caused,0.08461862,0.064931737,0.106660401
max,0.083240399,0.063760054,0.104853748
min,0.083240399,0.063760054,0.104853748
precipitation,0.083240399,0.063760054,0.104853748
temperature,0.083240399,0.063760054,0.104853748
wind,0.08319126,0.063649351,0.104747437
landscape,0.077712115,-0.069235955,0.104080691
list,0.086434954,-0.050194385,0.099952377
drywall,0.072137415,-0.068782907,0.099673943
standard,0.07012249,-0.07037663,0.099348043
star,0.067620969,-0.071701895,0.098558394
soffit,0.061989419,-0.075559406,0.097733883
mountain,0.067094874,-0.070812813,0.097550892
forbes,0.070476644,-0.065772094,0.096399822
siding,0.069108269,-0.06649328,0.095902602
fascia,0.061149556,-0.073753614,0.095806387
mph,0.075885546,0.057634455,0.095290852
bowman,0.067990392,-0.064943966,0.094023466
evergreene,0.072736563,0.058463537,0.093319842
insulation,0.071311832,-0.056886346,0.091221893
hanging,0.056093673,-0.06898111,0.088909468
western,0.063688316,0.05797802,0.086125794
roofing,0.065459166,-0.055620532,0.085898464
taping,0.056197603,-0.064280459,0.085382364
pioneer,0.08035212,0.022960084,0.083568108
enterprise,0.079693888,0.018034134,0.081708909
jb,0.062702312,-0.05135122,0.081046454
homes,0.079328648,-0.016126813,0.080951272
american,0.079058735,-0.015952797,0.080652187
idaho,0.078704991,0.016798465,0.080477724
drivew,0.056426329,-0.057001752,0.080206798
vinyl,0.070468949,-0.037934783,0.080030747
tradition,0.078582395,-0.014552022,0.079918422
painting,0.055542019,-0.053192685,0.076904991
builders,0.073255094,-0.004725836,0.073407372
install,0.073338173,-0.002624726,0.073385126
masonry,0.056853906,-0.044004954,0.071894385
mechanical,0.070952579,-0.007684707,0.071367522
doors,0.058725009,-0.036474514,0.069130433
tile,0.066699022,0.002080071,0.066731448
shingles,0.038083327,-0.054150394,0.066201246
sidew,0.038351971,-0.053289567,0.065655552
preeces,0.065522311,0.003599528,0.065621108
carpentry,0.043402706,-0.048780442,0.065294153
74,0.045475435,-0.046125214,0.06477307
ays,0.041450202,-0.04919388,0.064328509
patterson,0.057667865,-0.027574023,0.063921118
installing,0.041143466,-0.048210181,0.063379857
stone,0.040831257,-0.047851721,0.062904521
utah,0.062745158,0.003538307,0.062844845
41,0.062200029,0.004293366,0.062348028
hunt,0.060125969,-0.015722749,0.062147703
alls,0.050640909,-0.034655082,0.061363477
63,0.05841058,0.017315443,0.060923069
aldave,0.056696951,-0.019662391,0.060009615
repairs,0.047256994,-0.035666954,0.05920604
ns,0.032563685,0.049280159,0.059067145
law,0.033302012,0.04787398,0.058317595
mow,0.033473606,0.047384644,0.058015402
work,0.035051377,0.045062698,0.057089805
31,0.057047721,0.001631004,0.057071032
irrigation,0.038448154,-0.041933575,0.056891873
temp,0.038548073,-0.041751343,0.056825422
84,0.03902152,-0.04055388,0.056278737
53,0.055423248,-0.00596452,0.055743268
88,0.039607243,-0.039160208,0.055697896
22,0.046582714,-0.030484004,0.055670673
42,0.055524121,0.003516663,0.055635375
13,0.046527571,-0.029473237,0.055077096
54,0.052991368,0.013947487,0.054796144
touch,0.039323065,0.037409976,0.054275315
23,0.042883479,-0.031776774,0.05337374
alk,0.034279252,-0.040812625,0.053298569
62,0.051177552,0.012678706,0.052724676
58,0.051658282,0.008599142,0.052369107
carpet,0.045586068,-0.02567707,0.052320183
33,0.051593611,-0.004230517,0.051766765
39,0.049247073,-0.014980093,0.051475017
concrete,0.05117439,-0.005088567,0.051426761
prep,0.044182308,-0.025512116,0.051019059
mold,0.025993205,-0.043862643,0.050986058
36,0.050896487,-0.001396866,0.050915653
heaters,0.03999572,-0.031045148,0.050630611
57,0.049527793,0.010202852,0.050567781
15,0.041305294,-0.0290668,0.050507487
85,0.03663677,-0.033372499,0.049557811
ater,0.048866782,-0.007888014,0.049499325
14,0.041081955,-0.027443737,0.04940532
30,0.047052643,-0.014962562,0.049374381
75,0.037197441,-0.03215928,0.04917183
place,0.031836478,-0.037395821,0.049112206
86,0.03729798,-0.031745242,0.048978564
43,0.047795896,0.008804889,0.048600141
37,0.048289879,-0.003327221,0.048404368
